VARIAN_NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA
MYKONOS BABY LOVE ,SWEET BABY,9.8,10.0,80.2,CEWE,EDT,125.0,42000
MYKONOS IVORY,GROVY,8.0,10.0,82.0,CEWE,EDT,125.0,41500
MYKONOS BLOSSOM,BLOOMING CHARM,9.15,10.0,80.85,CEWE,EDT,125.0,49000
MYKONOS SILTTOS,HERO IS YOU,8.98,10.0,81.02,COWO,EDT,125.0,59500
MYKONOS DARK SECRET,KAMRAH,45.0,5.0,50.0,CEWE,EDP,3.5,45800
MYKONOS SPARKLING ROSE,DEEP MOUNTAIN,37.74,5.0,57.26,CEWE,EDP,3.5,35000
MYKONOS SATIN BLANC,YASMIN WHISPER,40.0,5.0,55.0,CEWE,EDP,3.5,40000
MYKONOS BOUJEE,LIBERARY LOVE,30.0,5.0,65.0,CEWE,EDP,50.0,198000
MYKONOS CALIFORNIA SIGNATURE,AGGRESSIVE BOY,25.0,10.0,65.0,COWO,EDP,100.0,420000
MYKONOS ZORA,VANILA,32.0,5.0,63.0,CEWE,EDP,50.0,129000
MYKONOS PINK BEACH,SOKOVIA BALADIA,46.0,5.0,49.0,CEWE,EDP,50.0,139000
MYKONOS APRODITE,VANILLATAGAT,6.0,5.0,89.0,CEWE,EDP,50.0,149000
MYKONOS SPARKLING ROSE,DEEP MOUNTAIN,37.0,10.0,53.0,CEWE,EDP,100.0,265430
MYKONOS DARK SECRET,KAMRAH,45.0,10.0,45.0,CEWE,EDP,100.0,295000
MYKONOS SANSA,SECRET SPELL,32.29,10.0,57.71,CEWE,EDP,100.0,249000
MYKONOS APRODITE,ANGEL+VANILLA+TAGAT,48.78,10.0,41.22,CEWE,EDP,100.0,259000
MYKONOS VANILLACLOUDS,SWEET HOPE,25.6,5.0,69.4,CEWE,EDP,50.0,113000
MYKONOS COCONUT DREAM,COCO+DELICA,38.86,5.0,56.14,CEWE,EDP,50.0,122500
MYKONOS VERVE,URBAN HEEL,50.0,5.0,45.0,CEWE,EDP,50.0,119000
MYKONOS BABY LOVE ,SWEET BABY,14.81,5.0,80.19,CEWE,EDP,50.0,109000
MYKONOS MATCHA LATTE,ZEN DROPS+VANILLA+TAGAT,49.61,5.0,45.39,CEWE,EDP,50.0,149000
MYKONOS ENCHANTED,BLOOMING TON,33.33,5.0,61.67,CEWE,EDP,50.0,149000
MYKONOS BLOSSOM,BLOOMING CHARM,33.44,5.0,61.56,CEWE,EDP,50.0,159900
MYKONOS BONFIRE VANILLA,SWISSKISS+VANILLA+TAGAT,40.0,5.0,55.0,CEWE,EDP,50.0,149000
MYKONOS WHEN IN PARIS,TARINA,21.66,5.0,73.34,CEWE,EDP,50.0,159900
MYKONOS SILTTOS,HERO IS YOU,22.46,5.0,72.54,COWO,EDP,50.0,131500
